Processing radium.midi...
Track 0: 
Track 1: Xylophone
Note Start: 1, Note End: 31609, Note Name: B4, Velocity: 83
Note Start: 155, Note End: 1256, Note Name: A#5, Velocity: 61
Note Start: 1, Note End: 31609, Note Name: B4, Velocity: 44
Note Start: 155, Note End: 14067, Note Name: C6, Velocity: 110
Note Start: 27, Note End: 30088, Note Name: C#6, Velocity: 110
Note Start: 129, Note End: 2945, Note Name: A#5, Velocity: 88
Note Start: 1, Note End: 33021, Note Name: G#5, Velocity: 83
Note Start: 1, Note End: 33280, Note Name: F5, Velocity: 63
Note Start: 5, Note End: 6432, Note Name: G#4, Velocity: 93
Note Start: 155, Note End: 3379, Note Name: F4, Velocity: 88
Note Start: 155, Note End: 15093, Note Name: G#4, Velocity: 88
Note Start: 155, Note End: 3379, Note Name: F4, Velocity: 88
Note Start: 155, Note End: 236, Note Name: A5, Velocity: 111
Note Start: 18, Note End: 13339, Note Name: A#5, Velocity: 111
Note Start: 257, Note End: 3441, Note Name: G#4, Velocity: 88
Note Start: 155, Note End: 3379, Note Name: F4, Velocity: 88
Note Start: 155, Note End: 15093, Note Name: G#4, Velocity: 91
Note Start: 155, Note End: 3379, Note Name: F4, Velocity: 88
Note Start: 155, Note End: 236, Note Name: A5, Velocity: 110
Note Start: 25, Note End: 12427, Note Name: A#5, Velocity: 110
Note Start: 257, Note End: 3441, Note Name: G#4, Velocity: 89
Note Start: 155, Note End: 3379, Note Name: F4, Velocity: 88
Note Start: 155, Note End: 18633, Note Name: A4, Velocity: 88
Note Start: 155, Note End: 3379, Note Name: F4, Velocity: 88
Note Start: 159, Note End: 777, Note Name: A#5, Velocity: 93
Note Start: 155, Note End: 3379, Note Name: F4, Velocity: 56
Note Start: 155, Note End: 236, Note Name: A5, Velocity: 60
Note Start: 155, Note End: 10091, Note Name: F#5, Velocity: 63
Note Start: 155, Note End: 20204, Note Name: E6, Velocity: 66
Note Start: 155, Note End: 14067, Note Name: C6, Velocity: 69
Note Start: 155, Note End: 14067, Note Name: C#6, Velocity: 73
Note Start: 155, Note End: 20961, Note Name: B5, Velocity: 76
Note Start: 155, Note End: 21224, Note Name: G#6, Velocity: 79
Note Start: 155, Note End: 14067, Note Name: C#6, Velocity: 82
Note Start: 155, Note End: 21719, Note Name: A#6, Velocity: 85
Note Start: 155, Note End: 21976, Note Name: G6, Velocity: 88
Note Start: 155, Note End: 22233, Note Name: C7, Velocity: 91
Note Start: 155, Note End: 22481, Note Name: F#6, Velocity: 94
Note Start: 155, Note End: 21224, Note Name: G#6, Velocity: 97
Note Start: 155, Note End: 22481, Note Name: F#6, Velocity: 88
Note Start: 159, Note End: 21754, Note Name: C7, Velocity: 54
Note Start: 155, Note End: 14067, Note Name: C#6, Velocity: 49
Note Start: 155, Note End: 23783, Note Name: D#6, Velocity: 49
Note Start: 155, Note End: 14067, Note Name: C#6, Velocity: 49
Note Start: 173, Note End: 19491, Note Name: G#6, Velocity: 62
Note Start: 4, Note End: 36966, Note Name: A4, Velocity: 104
Note Start: 2, Note End: 36964, Note Name: A4, Velocity: 49
Note Start: 125, Note End: 22183, Note Name: A4, Velocity: 49
Note Start: 121, Note End: 22743, Note Name: A4, Velocity: 49
Note Start: 104, Note End: 24933, Note Name: A4, Velocity: 106
Note Start: 13, Note End: 39003, Note Name: G#6, Velocity: 49
Note Start: 2, Note End: 36964, Note Name: A4, Velocity: 49
Note Start: 1, Note End: 36963, Note Name: A4, Velocity: 50
Note Start: 107, Note End: 24492, Note Name: A4, Velocity: 49
Note Start: 119, Note End: 23003, Note Name: A4, Velocity: 49
Note Start: 128, Note End: 21859, Note Name: A4, Velocity: 103
Note Start: 1, Note End: 36963, Note Name: A4, Velocity: 127
Note Start: 21, Note End: 38006, Note Name: G#6, Velocity: 127
Note Start: 1, Note End: 6769, Note Name: F4, Velocity: 127
Note Start: 26, Note End: 26269, Note Name: F#5, Velocity: 127
Note Start: 1, Note End: 5254, Note Name: C5, Velocity: 49
Note Start: 26, Note End: 8970, Note Name: C#5, Velocity: 49
Note Start: 312, Note End: 10622, Note Name: D5, Velocity: 118
Note Start: 3, Note End: 171, Note Name: D#5, Velocity: 66
Note Start: 129, Note End: 6927, Note Name: D5, Velocity: 49
Note Start: 169, Note End: 2361, Note Name: D5, Velocity: 49
Note Start: 156, Note End: 3775, Note Name: D5, Velocity: 49
Note Start: 166, Note End: 2593, Note Name: D5, Velocity: 50
Note Start: 162, Note End: 2846, Note Name: D5, Velocity: 49
Note Start: 156, Note End: 3775, Note Name: D5, Velocity: 49
Note Start: 166, Note End: 2593, Note Name: D5, Velocity: 49
Note Start: 163, Note End: 2762, Note Name: D5, Velocity: 52
Note Start: 182, Note End: 1122, Note Name: D5, Velocity: 49
Note Start: 157, Note End: 3597, Note Name: D5, Velocity: 49
Note Start: 181, Note End: 1349, Note Name: D5, Velocity: 49
Note Start: 155, Note End: 3855, Note Name: D5, Velocity: 50
Note Start: 155, Note End: 11908, Note Name: E5, Velocity: 61
Note Start: 14, Note End: 273, Note Name: D5, Velocity: 49
Note Start: 155, Note End: 3855, Note Name: D5, Velocity: 49
Note Start: 159, Note End: 11429, Note Name: E5, Velocity: 107
Note Start: 15, Note End: 105, Note Name: D5, Velocity: 49
Note Start: 155, Note End: 3855, Note Name: D5, Velocity: 49
Note Start: 155, Note End: 1256, Note Name: F#4, Velocity: 104
Note Start: 14, Note End: 273, Note Name: D5, Velocity: 50
Note Start: 155, Note End: 3855, Note Name: D5, Velocity: 49
Note Start: 155, Note End: 14691, Note Name: G#5, Velocity: 105
Note Start: 5, Note End: 173, Note Name: D5, Velocity: 49
Note Start: 155, Note End: 3855, Note Name: D5, Velocity: 52
Note Start: 155, Note End: 15093, Note Name: G#4, Velocity: 102
Note Start: 11, Note End: 89, Note Name: D5, Velocity: 49
Note Start: 155, Note End: 3855, Note Name: D5, Velocity: 49
Note Start: 155, Note End: 14067, Note Name: C#6, Velocity: 127
Note Start: 10, Note End: 233, Note Name: D5, Velocity: 101
Note Start: 155, Note End: 3855, Note Name: D5, Velocity: 103
Note Start: 155, Note End: 1256, Note Name: F#4, Velocity: 127
Note Start: 5, Note End: 173, Note Name: D5, Velocity: 54
Note Start: 175, Note End: 2022, Note Name: D5, Velocity: 49
Note Start: 165, Note End: 2607, Note Name: D5, Velocity: 49
Note Start: 173, Note End: 2122, Note Name: D5, Velocity: 49
Note Start: 174, Note End: 2117, Note Name: D5, Velocity: 127
Note Start: 7, Note End: 150, Note Name: D5, Velocity: 126
Note Start: 15, Note End: 105, Note Name: D5, Velocity: 126
Note Start: 24, Note End: 287, Note Name: D5, Velocity: 126
Note Start: 24, Note End: 287, Note Name: D5, Velocity: 126
Note Start: 1, Note End: 169, Note Name: D5, Velocity: 126
Note Start: 547, Note End: 9036, Note Name: A4, Velocity: 62
Note Start: 170, Note End: 38420, Note Name: A#4, Velocity: 62
Note Start: 155, Note End: 39914, Note Name: A#4, Velocity: 63
Note Start: 155, Note End: 3855, Note Name: D5, Velocity: 64
Note Start: 155, Note End: 3855, Note Name: D#5, Velocity: 66
Note Start: 155, Note End: 236, Note Name: A5, Velocity: 67
Note Start: 184, Note End: 38202, Note Name: F6, Velocity: 69
Note Start: 155, Note End: 41192, Note Name: F6, Velocity: 70
Note Start: 170, Note End: 8597, Note Name: F#5, Velocity: 72
Note Start: 155, Note End: 10091, Note Name: F#5, Velocity: 73
Note Start: 155, Note End: 41192, Note Name: F6, Velocity: 75
Note Start: 155, Note End: 41192, Note Name: F6, Velocity: 76
Note Start: 178, Note End: 21542, Note Name: D#6, Velocity: 77
Note Start: 155, Note End: 23783, Note Name: D#6, Velocity: 79
Note Start: 179, Note End: 12694, Note Name: F5, Velocity: 80
Note Start: 155, Note End: 14950, Note Name: F5, Velocity: 82
Note Start: 168, Note End: 22448, Note Name: D#6, Velocity: 83
Note Start: 155, Note End: 23783, Note Name: D#6, Velocity: 83
Note Start: 172, Note End: 42689, Note Name: D6, Velocity: 81
Note Start: 155, Note End: 44268, Note Name: D6, Velocity: 80
Note Start: 155, Note End: 44763, Note Name: G5, Velocity: 78
Note Start: 155, Note End: 236, Note Name: A5, Velocity: 76
Note Start: 155, Note End: 1256, Note Name: A#5, Velocity: 75
Note Start: 155, Note End: 236, Note Name: A5, Velocity: 73
