Processing zeg2.midi...
Track 0: 
Note Start: 0, Note End: 14851, Note Name: D2, Velocity: 29
Note Start: 0, Note End: 28159, Note Name: G5, Velocity: 103
Note Start: 0, Note End: 6633, Note Name: A4, Velocity: 74
Note Start: 0, Note End: 7145, Note Name: D#5, Velocity: 88
Note Start: 0, Note End: 14386, Note Name: C4, Velocity: 49
Note Start: 0, Note End: 33119, Note Name: E4, Velocity: 63
Note Start: 0, Note End: 14345, Note Name: C#3, Velocity: 74
Note Start: 0, Note End: 12836, Note Name: A3, Velocity: 84
Note Start: 0, Note End: 34055, Note Name: A#2, Velocity: 74
Note Start: 0, Note End: 14345, Note Name: C#3, Velocity: 84
Note Start: 0, Note End: 14851, Note Name: A#1, Velocity: 74
Note Start: 0, Note End: 34077, Note Name: F2, Velocity: 84
Note Start: 10, Note End: 7667, Note Name: F#5, Velocity: 109
Note Start: 23, Note End: 28182, Note Name: G#4, Velocity: 108
Note Start: 330, Note End: 25365, Note Name: G5, Velocity: 103
Note Start: 0, Note End: 4073, Note Name: C#2, Velocity: 84
Note Start: 0, Note End: 22537, Note Name: C1, Velocity: 16
Note Start: 0, Note End: 7679, Note Name: G#1, Velocity: 19
Note Start: 0, Note End: 14851, Note Name: A#1, Velocity: 20
Note Start: 0, Note End: 14851, Note Name: D2, Velocity: 31
Note Start: 0, Note End: 7679, Note Name: G#5, Velocity: 108
Note Start: 0, Note End: 1790, Note Name: A5, Velocity: 76
Note Start: 0, Note End: 38168, Note Name: B5, Velocity: 90
Note Start: 0, Note End: 33119, Note Name: E4, Velocity: 51
Note Start: 0, Note End: 6633, Note Name: A4, Velocity: 51
Note Start: 0, Note End: 7145, Note Name: D#5, Velocity: 65
Note Start: 0, Note End: 14345, Note Name: C#3, Velocity: 76
Note Start: 0, Note End: 12836, Note Name: A3, Velocity: 86
Note Start: 0, Note End: 14386, Note Name: C4, Velocity: 84
Note Start: 0, Note End: 34055, Note Name: A#2, Velocity: 79
Note Start: 0, Note End: 14851, Note Name: A#1, Velocity: 76
